Word,Meaning
enfranchise,admit to the rights of citizenship (especially the right to vote); CF.
engage,attract; employ; hire; pledge ones elf; confront; fight; enter into
engaged,employed; busy; betrothed; involved in conflict
engaging,charming; attractive
engender,cause; produce; give rise to
engross,occupy fully; absorb
engulf,surround and swallow up
enhance,"increase; make greater (as in value, reputation, or usefulness); improve"
enigma,puzzle; mystery; ADJ. enigmatic: obscure; puzzling
enjoin,command; order; forbid
enlist,"(cause to) join the armed forces; obtain (help, sympathy, or support)"
enliven,make lively or spirited; animate
enmity,ill will; hatred; hostility
ennui,boredom; listlessness and dissatisfaction  resulting from lack of interest;
enormity,hugeness (in a bad sense); excessive wickedness; Ex. enormity of the
enrapture,please intensely; fill with rapture and delight
ensconce,settle comfortably; place comfortably (in a secure place)
ensue,follow (as a result)
entail,make necessary; require; necessitate; involve; limit the inheritance of
enterprise,willingness to take new ventures; in itiative; business organization; plan
enterprising,full of initiative; showing enterprise
enthrall,capture; enslave; captivate; hold the complete attention of (as if magic); hold spellbound
entice,lure; persuade to do (something wrong); attract; tempt
entity,real being
entomology,study of insects
entourage,group of attendants; retinue; CF. surround
entrance,put under a s pell(condition caused b y magical power); carr y awa y(fill with
entreat,plead; ask earnestly
entree(entr\'ee) entrance; a way in; right to enter; main,dish of a meal; Ex. entree into the
entrepreneur,businessperson (who assumes the risk of a business venture); contractor;
enumerate,list; mention one by one
enunciate,"announce; proclaim; utter or speak,  especially distinctly; pronounce"
environ,enclose; surround; N. environs: surrounding area (as of a city)
eon(aeon),long period of time; an age; longest division of geologic time containing
ephemeral,short-lived; fleeting
epic,"long heroic poem, novel, or simila r work of art (celebrating the feats of a"
epicure,connoisseur of food and drink; gourmet; ADJ. epicurean; CF. Epicurus
epicurean,believing that pleasure is good and suffering is bad and should be
epigram,"witty thought or saying, usually short"
epilogue,short speech at conclusion of dramatic work
episodic,(of a story or play) loosely connected; made up of separate and loosely connected parts; N. episode: incident in the course of an experience
epistemologist,philosopher who studies th e nature of knowledge; N. epistemology
epitaph,inscription in memory of a dead person (as on a tombstone)
epithet,word or phrase characteristically us ed to describe a person or thing;
epitome,perfect example or embodiment; brief summary; Ex. epitome of good
epoch,period of time
equable,tranquil; of even calm temp er; (of temperature) steady; uniform
equanimity,calmness of temperament; composure
equestrian,rider on horseback; ADJ.
equilibrium,balance of opposing forces; balance of the mind; equanimity
equine,resembling a horse; Ex. equine face
equinox,period of equal days and nights; the beginning of spring and autumn; Ex. vernal/autumnal equinox; ADJ. equinoctial
equipoise,balance; balancing force; equilibrium
equitable,fair; impartial; OP. inequitable
equity,fairness; justice; OP. inequity
equivocal,(of words or statements) ambiguous; intentionally misleading; (of
equivocate,use equivocal language to deceive peop le; lie; mislead; attempt to conceal
erode,eat away; wear away gradually by abrasion; Ex. The sea erodes the rocks.
erotic,pertaining to passionate love or sexual love
errant,wandering (esp. in search of adventure); straying from proper moral standards; Ex. knight-errant
erratic,odd; irregular in movement or behavior; unpredictable
erroneous,mistaken; wrong; incorrect
erudite,(of a person or book) learned; full of learning; scholarly; N. erudition
escapade,prank; flighty conduct; reckless adventure that disobeys rules
eschew,avoid habitually; Ex . eschew alcoholic drinks
esoteric,"hard to understand; known only to th e chosen few, esp. initiates; N."
espionage,spying
espouse,adopt; support (an idea or aim); marry; N. espousal
esteem,respect; value; judge; N.
estimable,(of a person) worthy of esteem; admi rable; deserving esteem; possible to
estranged,separated; alienated; V. estrange: alienate (people in a family); N.
ethereal,like a spirit or fairy; unearthly ligh t; heavenly; unusually refined; Ex. She
ethnic,relating to races
ethnology,study of humankind; study of the di fferent races of human beings; CF.
ethos,"underlying character of a culture, group, etc.; character or ideas peculiar"
etymology,study of word parts;  study of the origins of words
eugenic,pertaining to the improvement of race ; N. eugenics: study of hereditary
eulogistic,praising; full of eulogy
eulogy,"expression of praise, often on th e occasion of someone's death; V. eulogize"
euphemism,mild expression in place of an unpleasant one; ADJ. euphemistic
euphony,sweet sound; ADJ. euphonious
euphoria,feeling of exaggerated or unfounded(ungrounded; baseless) well-being; feeling of great happiness or well-being (when unreasonable); ADJ. euphoriaric
euthanasia,mercy killing
evanescent,fleeting; vanishing; soon disappearing; V. evanesce
evasive,not frank; trying to hide the truth; el uding; evading; V. evade: avoid (a
evenhanded,impartial; fair
eventual,happening at last as a result; Ex. eventual victory
evince,show clearly
evocative,"tending to call up (emotions, memories)"
evoke,call forth (memory or feeling); Ex. That old film evoked memories of my
ewe,female sheep
exacerbate,worsen; aggravate; embitter
exact,demand and obtain by force; Ex. exact a promise from him; N. exaction
exacting,extremely demanding; Ex. exacting standard of safety
exalt,raise in rank or dignity; praise highly; inspire; Ex. exalt the imagination;
exasperate,vex; annoy or make  angry (by testing the patience)
except,exclude; N. exception: objection; excl usion; ADJ. exceptional: unusual; of
exceptionable,objectionable; likely to cause dislik e; offensive; CF. unexceptionable:
excerpt,selected passage (written or mu sical) taken from a longer work; V.
exchequer,treasury; Ex. Chancellor of the exchequer
excise,cut away; cut out; N: government tax on good produced and used inside a
exclaim,cry out suddenly; N. exclamation; ADJ. exclamatory
excoriate,scold with biting harshness;  censure strongly; strip the skin off
exculpate,clear from blame or guilt
execrable,very bad; detestable
execrate,curse; express abhorrence for; detest
execute,put into effect; carry out; ki ll as a lawful punishment; N. execution
executioner,person administering capital punishment
executive,person having administrative auth ority; one branch of government
executor,person designated to execute the terms of a will;
exegesis,"explanation, especially of biblical(of the bible) passages"
exemplary,serving as a model; outstanding; Ex . exemplary punishment/behavior; N.
exemplify,show by example; furnish an exampl e; serve as an example of; Ex. His
exempt,not subject to a duty or obligation; free from a duty; V.
exertion,effort; expenditure of much physical work; V. exert oneself: make a great
exhale,breathe out; OP. inhale
exhilarating,invigorating and refreshing; cheering; V. exhilarate: make cheerful and excited; Ex. exhilarated by the ride in the sports car
exhort,urge (by strong argument or advice); Ex. The general exhorted his men to fight bravely; N. exhortation
exhume,dig out of the ground; remove from a grave
exigency,urgent situation; ADJ. exigent
exiguous,small in amount; minute
existential,pertaining to existence; pertai ning to the philosophy of existentialism
exodus,departure (of a large number of people)
exonerate,acquit; exculpate;  free from blame or guilt
exorbitant,(of costs or demands) excessive; exceeding reasonable bounds
exorcise,drive out evil spirits
exotic,not native; from another part of the wo rld; strange; intriguingly unusual;
expansive,(of a person) outgoing and sociable; broad and extensive; able to increase in size
expatiate,talk at length; speak or write in detail
expatriate,exile; someone who has withdrawn from his native land; V: exile; banish;
expedient,suitable (for a particular purpos e although not necessarily morally
expedite,hasten; make go faster
expeditious,done with speed; quick; N. expedition
expenditure,payment or expense; expending; something expended; output; Ex. receipt for the expenditure; Ex. expenditure of all the energy
expertise,specialized knowledge (in a particular field); expert skill
expiate,make amends for (a sin)
expletive,meaningless word; interjection; profane oath; swear-word
explicate,explain in detail; interpret; clarify; CF. explicable
explicit,totally clear; definite; outspoken
exploit,"make use of, sometime s unjustly; N. exploitation"
expos\'e,public revelation  of something discreditable
expository,explanatory; serving to explai n; N. exposition: explaining; exhibition
expostulation,protest; remonstrance; reasoning with someone to correct or dissuade; V.
exposure,"risk, particularly of being exposed to disease or to the elements; unmasking; act of laying something open; Ex. exposure of governmental"
expound,explain
expropriate,take possession of (often for public use and without payment)
expunge,cancel; remove a word or name (from a book or list); erase
expurgate,clean; remove offensive parts of a book
exquisite,delicate; very finely made; extremel y beautiful; Ex. exquisite piece of
extant,(of something written or painted) still in existence
extemporaneous,not planned; impromptu; extempore
extenuate,weaken; mitigate; lessen the seriousness of (bad behavior)
extirpate,root up; uproot; destroy completely
extol,praise very highly; glorify
extort,"wring from; get money by threats, etc. ; obtain by force or threats; CF."
extradition,surrender of prisoner by one state to another; Ex. extradition treaty; V.
extraneous,not essential; irrelevant; superfluous;  external; coming from the outside;
extrapolation,projection; conjecture; V. extrapolate: infer (unknown information) from known information
extricate,free from an entanglement or difficulty; disentangle
extrinsic,external; not essential or inherent; extraneous; OP. intrinsic
extrovert,person interested mostly in external objects and actions
extrude,force or push out; thrust out; shape (p lastic or metal) by forcing through a
exuberance,overflowing abundance; joyful enthusiasm; flamboyance; lavishness; ADJ. exuberant: high-spirited and lively; growing abundantly and strongly
exude,flow out slowly; discharge (gradually); give forth; N. exudation
exult,rejoice
