Word,Meaning
lookout,act of keeping watch; high place comma nding a wide view; person who keeps
loom,"appear or take shape (usually in an enlarged, indistinct, or distorted form); Ex."
lope,gallop slowly
lopsided,heavier or larger on one side th an the other; Ex. lopsided way of walking
loquacious,talkative; N. loquacity
lot,object used in making a determination at random; fate; piece of land
lottery,contest in which winners are selected in a drawing of lots
lounge,"stand, sit, or lie in a lazy, relaxed way"
lout,clumsy person; ADJ. loutish; CF. from countrysides ?
low,moo; make the sound of a cow
lubricate,apply a lubricant to; N. lubricant: substance that reduces friction
lucid,easily understood; clea r; intelligible; N. lucidity
lucrative,profitable; producing wealth
lucre,money; profit; Ex. filthy lucre
ludicrous,laughable; ridiculous; trifling
lugubrious,mournful; sorrowful
lull,moment of calm; period of reduced activi ty; Ex. a lull in the rain; V: cause to
lumber,move heavily or clumsily; Ex. The bear lumbered through the woods; N:
lumen,unit of light energy (one candle's worth)
luminary,celebrity (in a specific field); dignitary;  object that gives light (as a celestial
luminous,shining (esp. in the dark); issu ing light; Ex. luminous paint/road signs
lunar,pertaining to the moon
lunatic,insane; Ex. lunatic asylum
lurid,wild; sensational; graphic; gruesome ; horrible; Ex. lurid details of the murder
lurk,stealthily lie in waiting; slink; exist unperceived
luscious,pleasing to taste or smell; delicious
lush,(of a plant or grass) growing very well
lust,intense sexual desi re; intense eagerness; V.
luster,shine; gloss (of a polished surface)
lustrous,shining; brilliant; Ex. lustrous hair
luxuriant,abundant; growing healthily and in larg e amounts; excessively ornate; rich
luxuriate,take pleasure in great comfort
