Word,Meaning
blush,become red in the face (from embarrassment or shame); become red or
bluster,blow in heavy gusts; threaten emptil y; bully; speak in a noisy or bullying
bode,foreshadow; portend
bog,soft wet land; V: hinder or be hindered; Ex. bogged down in the mud
bogus,counterfeit; not authentic; inte ntionally false; Ex. bogus interview
Bohemian,unconventional (in an artistic way)
boisterous,violent; rough; noisy
bolster,support; reinforce
bolt,door bar; fastening pin or screw; length of fabric; large roll of cloth; V: dash or dart off; fasten (a | door); gobble down
bombardment,attack (as with missiles or bombs); V. bombard
bombast,"grandiloquent, pompous speech"
bombastic,pompous; using inflated language
bookish,fond of books and reading
boon,blessing; benefit; something very helpful
boor,"rude, insensitive person"
boorish,rude; insensitive
boost,lift by pushing up from below; increase; raise; N: push upward; increase
botch,mismanage; blow
bouillon,clear beef (or meat) soup
bound,leap or spring; limit or confine; co nstitute the limit of; Ex. bounded by
bountiful,generous; graciously generous; showing bounty
bourgeois,middle class; selfis hly materialistic; too intere sted in material possessions
bout,match; short period of great activity; Ex. wrestling bout; bout of
bovine,cowlike; placid and dull; slow-thinking; calm
bowdlerize,expurgate; CF. Thomas Bowdler
brackish,somewhat saline
brag,boast
braggadocio,boasting
braggart,boaster; bragger
braid,plait; interweave strands or len gths of; make b y weavin g strands to gether;
brand,trademark; mark burned on the hide of an animal; mark burned into the
brandish,wave around (a weapon); flourish
bravado,swagger; assumed air of defiance; false show of bravery
brave,face courageously; Ex. brave the storm
brawl,noisy quarrel
brawn,human muscle; muscular strength; sturdiness
brawny,muscular; having well-developed muscles
brazen,insolent; without shame; bold; Ex. braz en lie; V: face with bold self-
breach,breaking of contract or duty; fissure or gap; opening; V.
breadth,width; extent
breed,produce young; rear; bring up; produce (an undesirable condition); N:
brevity,conciseness; shortness of duration
bridle,harness fitted about a horse's head (use d to restrain); curb; check; V: put
brim,uppermost edge of a cup; projecting rim (as on a hat); Ex. The glass was
brindled,tawny or grayish with  streaks or spots (of animals)
brink,edge (at the top of a cliff); Ex. on the brink of the Grand Canyon
brisk,quick and active; marked by liveliness and vigor
bristle,short stiff hair; V: (hair or fur) stand up stiffly
bristling,rising like bristles; showing irritation
brittle,hard but easily broken; difficult; unstable; Ex. brittle situation
broach,introduce as a subject; moot; open up
brocade,"rich, figured(patterned) fabric"
brochure,pamphlet
broil,cook by direct heat; N.
bromide,platitude; chemical compound used to calm excitement
brooch,ornamental clasp; pin
brood,sit on in order to hatch; think deeply  or worry anxiously; N: the young of
brook,tolerate; endure; Ex. brook no interference; N: small stream
browbeat,bully; intimidate
browse,graze; feed on growing gr ass; skim or glance at casually
bruise,injure without breaking the skin; N.
brunt,main impact or shock (of an atta ck or blow); Ex. brunt of the argument
brusque,blunt; abrupt; curt; not wanting to waste time being nice
buccaneer,pirate
bucolic,rustic; pastoral
buffet,strike forcefully; slap; batter; kn ock out; N: table with food set out for
people to server themselves; meal at,which people help themselves to
buffoon,stupid person; clown
buffoonery,clowning
bugaboo,bugbear; object of baseless terror
bulge,protruding part; swelling of a surface; Ex. The apple made a bulge in his
bulk,size or volume (esp. when very large); main part; Ex. The bulk of the work has already been done; ADJ. bulky: having great size
bullion,gold and silver in the form of bars
bully,one who is habitually cruel to weaker people; V.
bulwark,strong wall built for defense; earthw ork or other strong defense; person
bump,hit or knock against with force; N.
bungle,mismanage; blunder; botch;  blow; spoil by clumsy behavior
buoyant,able to float; cheerful and optimist ic; N. buoyancy; Ex. buoyancy of
bureaucracy,overregulated administrative system marked by red tape; ADJ. bureaucratic
burgeon,grow rapidly; grow forth; send out buds; Ex. burgeoning computer industry; CF. bludgeon
burlesque,give an imitation that ridicules; imitate mockingly
burnish,make shiny by rubbing; polish
bust,"piece of sculpture showing a person's  head, shoulders, and upper chest;"
buttress,support; prop up; N. stationary structure to support wall; Ex. flying buttress
buxom,full-bosomed; plump; jolly
