Word,Meaning
transgression,violation of a law; sin; V. transgress: go beyond (a limit); violate; do wrong
transient,staying for a short time; momentar y; temporary; N: one that is transient
transition,going from one state of action to another
transitory,transient; impermanent; fleeting; N. transitoriness
translucent,partly transparent
transmute,transform; change; convert to something different
transparent,permitting light to pass through freely;  easily detected; obvious; clear; Ex.
transpire,(of a fact) become known; be revealed; happen; give off (watery waste
transport,strong emotion; rapture; Ex. in a transp ort/transports of; V: move to strong
transpose,reverse the order or position of
trappings,outward decorations; orname nts (as an outward sign of rank)
traumatic,(of an experience) deeply shocking; pe rtaining to an injury caused by
travail,strenuous work; toil; pain ful labor; labor of childbirth
traverse,go through or across
travesty,copy or example of something that completely misrepresents the true nature
tread,walk; trample; N: grooved face of a tire; horizontal part of a step
treasure,keep as precious; cherish
treatise,article treating a subject systematically and thoroughly
trek,travel; journey; V: make a long difficult journey
tremor,trembling; slight quiver (as of  the earth or from nervous agitation)
tremulous,trembling; wavering
trenchant,cutting; incisive; keen
trepidation,fear; nervous apprehension
tribulation,suffering; ordeal; distress; trial
tribunal,court of justice
tribune,official of ancient Rome elected by the plebians to protect their rights;
tribute,tax levied by a ruler; payment made by one nation to another in
trickle,flow in drops or in a thin stream; N.
trickster,person who cheats people
trident,three-pronged spear
trifle,something of little importance or value;  small amount; Ex. a trifle; V: treat
trifling,trivial; unimportant
trigger,set off; start
trilogy,group of three related works (connected by a shared subject but each
trim,make neat or tidy by clipping; reduce by removing what is unnecessary; ornament; decorate (round the edges); Ex. trim the cost; Ex. jacket trimmed
trinket,knickknack; bauble; cheap jewelry
trite,hackneyed; commonplace
trivia,trifles; unimportant matters
troth,pledge of good faith especially in betrothal; betrothal; Ex. by my troth
trough,"long narrow container for feeding farm  animals; lowest point (of a wave,"
truculence,aggressiveness; ferocity; ADJ. truculent: aggressive; pugnacious; fierce
truism,self-evident truth
truncate,cut the top off; shorten
trunk,main wooden stem of a tree; human body excluding the head and limbs;
tryst,meeting arranged by lovers; arrangement between lovers to meet
tumid,(of a part of the body) swo llen; distended; bombastic; pompous
tumult,commotion of a great crowd; riot; noise; uproar; ADJ. tu multuous: noisy and
tundra,rolling treeless plain in Siberia and arctic North America
turbid,(of a liquid) having the sediment disturbed; muddy; thick
turbulence,state of violent agitation; ADJ. turbulent: violently agitated or disturbed
tureen,deep dish for serving soup
turgid,swollen; distended (as from liquid)
turmoil,extreme confusion; great commotion an d confusion; Ex. throw the country
turncoat,traitor
turpitude,depravity; baseness; Ex. moral turpitude
tutelage,guardianship; training; function of a tutor; instruction
tutelary,protective; pertaining to a guardianship; Ex. tutelary deities
tycoon,wealthy and powerful businessperson; wealthy leader; magnate; Ex. business
typhoon,tropical hurricane or cyclone
tyranny,oppression; cruel government; ADJ. tyrannical: of a tyrant or tyranny;
tyro,beginner; novice
