Word,Meaning
ooze,(of a thick liquid) pass or flow slowly; N: mud or thick liquid as at the bottom
opalescent,iridescent; lustrous ; like an opal; N. opalescence
opaque,dark; not transparent; N. opacity
opiate,medicine to induce sleep or deaden pain; something that relieves emotions or causes inaction; sleep-producing drug containing opium
opportune,timely; well-chosen
opportunist,individual who sacrifices principles fo r expediency by taking advantage of
opprobrium,infamy; disgrace arising from shameful conduct; vilification(slander); scorn;
optician,maker and seller of eyeglasses
optimist,person who looks on the bright side; N. optimism
optimum,most favorable; optima l; N: most favorable condition
optional,not compulsory; left to one's choice; N. option: act of choosing; choice; freedom or power to choose; something available as a choice; Ex. have no
optometrist,one who fits glasses to remedy visual defects
opulence,extreme wealth; luxuriousness; abundance; ADJ. opulent: possessing great wealth; abundant
opus,work (esp. musical composition); Ex. magnum opus: masterpiece; CF. opera
oracular,of an oracle; prophetic; uttered as if with divine authority; mysterious or
orator,public speaker
oratorio,dramatic poem set to music; long mu sical work with singing but without
ordain,"decree or command; grant holy orders; predestine; install as a minister,"
ordeal,severe trial or affliction; difficult ex perience; trial(test of patience or
ordinance,decree; authoritative order
ordination,ceremony conferring holy or ders; ceremony of ordaining a priest
orgy,wild drunken revelry; unrestrained indu lgence in an activity; Ex. orgy of
orient,get one's bearings; adjust; make familiar with a situation; orientate
orientation,act of finding oneself in society; orienting
orifice,mouthlike opening; small opening (esp. to  a cavern or passage of the body);
ornate,excessively or elaborately decorated
ornithologist,scientific student of birds; N. ornithology: scientific study of birds
orthodox,traditional; (of someone) conservative in belief; adhering to an established
orthography,correct spelling; CF. ortho-: straight; correct; Ex. orthodontics
oscillate,vibrate pendulumlike; waver
osseous,made of bone; bony
ossify,change or harden into bone; become hard and unchanging in one's ideas
ostensible,apparent; appearing as such; professed( pretended); pretended; Ex. ostensible
ostentatious,showy; trying to attract attentio n; pretentious; N. ostentation: showy display
ostracize,banish from a group; exclude from public favor; ban; Ex. His friends
oust,expel; drive out; force out; N. ouster: ousting
outcast,one that has been excluded from a society; ADJ.
outfit,clothing or equipment for a special purpose; Ex. cowboy outfit
outgoing,sociable; eager to mix socially with others
outlandish,bizzare; pe culiar; unconventional
outlaw,fugitive from the law (excluded from legal protection); V: declare (someone) to be an outlaw; deprive of the protec tion of the law; declare illegal; Ex.
outlook,point of view; view from a particul ar place; expectation for the future;
outmoded,no longer in fashion or us e; no longer stylish; old-fashioned
outrage,act of extreme violence or viciousness;  resentful anger; V: commit an outrage
on; produce anger in; ADJ.,outrageous: offensive
outskirts,fringes; outer borders (as of a city); Ex. outskirts of Boston
outspoken,candid; blunt
outstrip,outrun; surpass; outdo
outwit,outsmart; defeat by behaving more cleverly
ovation,enthusiastic applause
overbearing,bossy; domineering and arrogant; decisively important; Ex. overbearing
overblown,inflated; exaggerated
oversee,watch over and direct; supervise; N. over sight: unintentional failure to notice
overt,open to view; public; not secret; CF. covert
overthrow,topple; N.
overture,musical introduction to a long musical piece; first offer or proposal (to begin talks in the hope of reaching an agreement); Ex. overtures for peace
overturn,turn over; capsize; topple
overweening,arrogant; presumptuous
overwhelm,(of water) cover completely; defeat com pletely by much greater force; Ex.
overwrought,nervous or excited; extremely agitated ; hysterical; wrought-up; CF. wrought:
ovoid,egg-shaped; CF. ovum; CF. ovulate
