Word,Meaning
rational,(of a person) having reason; (of ideas) based on reason; logical
rationale,fundamental reason or principle (on wh ich a system or principle is based);
rationalize,make rational; devise false reasons fo r (one's behavior); offer an excuse;
raucous,(of voice) harsh and unpleasant; (of people) disorderly and boisterous; Ex. raucous shouts
ravage,devastate; plunder; desp oil; Ex. crops ravaged by storms
rave,overwhelmingly favorable review; V: ta lk wildly as if mad; Ex. raving lunatic
ravel,fall apart into tangles; entangle; unravel or untwist
ravenous,extremely hungry; voracious
ravine,"narrow valley with steep sides; gorge; CF. gully, canyon"
raze,destroy completely; Ex. raze the city to the ground
reactionary,strongly opposed to social or politica l change; opposing progress; politically
realm,kingdom; field or sphere; Ex. not within the realms of possibility
reaper,one who harvests grain; Ex. the Grim Reaper; V. reap: cut and gather
rebate,return of part of a payment; discount; V.
rebuff,reject bluntly; snub; beat back; Ex. She rebuffed his invitation; N.
rebuke,scold harshly; criticize severely
rebus,representation of words in the form of pictures or symbols; puzzle in which
rebuttal,refutation; response with contrar y evidence; V. rebut: refute; disprove
recalcitrant,disobedient or resisting authority even after being punished; obstinately stubborn; determined to resist author ity; unruly; Ex. recalcitrant child
recant,disclaim or disavow; retract a previous  statement; openly confess error; Ex.
recapitulate,summarize
recast,"reconstruct (a sentence, story, statue, etc.); fashion again"
receptive,"quick or willing to receive (ideas, suggestions, etc.); Ex. receptive to the"
recess,pause; temporary cessation; alcove; se cret inner place; Ex. parliament in
recession,withdrawal; retreat; time of low economic activity
recidivism,habitual return to crime (eve n after being punished); N. recidivist
recipient,receiver
reciprocal,mutual; given and received in return; exchangeable; interacting; Ex.
reciprocate,do or give something in return; repay in kind; give or take mutually;
recital,act of reciting publicly; detailed account; performance of music or dance
recite,repeat aloud (something learned); desc ribe; Ex. recite his complaints; N.
reckon,count; calculate; regard as; think; suppose
recline,lie down
recluse,hermit; loner; ADJ. reclusive
reconcile,make friendly again (after quarrel); make consistent (two ideas in opposition); correct inconsistencies; Ex. reconcile one's political principles with one's religious beliefs
recondite,abstruse; not easily understood; profound; secret
reconnaissance,survey of enemy by soldiers; reco nnoitering; V. reconnoiter: make a
recount,narrate or tell (a story); count over again
recourse,resorting to help when in trouble; Ex. without recourse to
recreant,disloyal; cowardly; N:  disloyal and cowardly person
recrimination,countercharges; V. recriminate
rectify,set right; correct; CF. rect-: right
rectitude,moral correctness; moral uprightne ss; moral virtue; correctness of
recumbent,reclining; lying down completely or in part
recuperate,recover; return to heal th; regain; Ex. recuperate losses
recurrent,occurring again and again
redolent,odorous; fragrant; suggestive (of an odor); Ex. redolent of onions/mystery
redoubtable,formidable; causing fear
redress,remedy; compensation; Ex. seek redress for the damage to your car; V: put
reduce,diminish; bring to a weaker or more difficult condition; demote; lower in rank; separate into components by an alysis; Ex. reduced to the ranks; Ex.
redundant,superfluous; more than is necessary; verbose; excessively wordy; repetitious
reek,emit (an unpleasant odor or smoke); give off an unpleasant odor; give out smoke; Ex. reeking chimney; N: unpleasant odor; stench
refectory,dining hall; room wher e meals are served (in a school)
referendum,direct vote by all the people
refraction,bending of a ray of light
refractory,unmanageable; disobedien t and stubborn; Ex. refractory horse
refrain,abstain from; resist; forbear; N: chorus
refulgent,effulgent; brilliant; brightly  shining; gleaming; Ex. refulgent moon
refurbish,"renovate; make clean, bright, or fres h (make new) again; make bright by"
refuse,anything discarded or rejected as worthless; trash
refute,disprove; prove to be false; N. refutation
regal,royal; of a monarch; Ex. regal manner
regale,entertain
regatta,boat or yacht race
regeneration,spiritual rebirth; Ex. regeneration of the prisoners; V. regenerate: give or
regent,"a person who governs in place of a ruler who is ill, absent, or still a child;"
regicide,murder of a king or queen
regime,method of system or government
regimen,prescribed course of diet or exercise; prescribed diet and habits; Ex. daily
regiment,military unit; V: subject to  strict order; Ex. regimented society
rehabilitate,restore to proper condition (healt h or useful life); restore the former rank of
reimburse,repay; pay back
reinstate,restore to a previous condition or position
reiterate,repeat
rejoinder,reply; retort; comeback; V. rejoin: say in reply
rejuvenate,make young again
relapse,return to a former state (esp. after improvement); N.
relegate,put into a lower or worse place; banish  to an inferior position; delegate;
relent,become less severe; give in(surrender ); ADJ. relentless: unyielding;
relevant,"having importance; pertinent; referring to the case in hand; N. relevance, relevancy"
relic,surviving remnant (from an extinct culture); memento; keepsake; relics:
religious,of religion; (of a person) pious; having reverence for a deity
relinquish,give up something (with reluctance);  yield; release; Ex. relinquish
relish,enjoy; savor;  N: enjoyment; zest
remediable,reparable
reminiscence,recollection; V. reminisce: recollect the past
reminiscent,suggestive of somethin g (in the past); of reminiscence
remiss,negligent; careless about a duty
remission,temporary moderation (of disease sy mptoms); remitting of a debt or
remit,transmit (money) in payment; free someone from a debt or punishment
remittance,remitting of mone y; amount of money remitted
remnant,remainder
remonstrate,protest; objection; V. remonstrate: say in protest
remorse,deep regret for wrongdoing; guilt; self-reproach
remunerative,(of work) compensating; rewarding; profitable; well-paid; V. remunerate: reward; pay (someone) for work or trouble
rend,split; tear apart; N. rent; CF. heartrending: causing deep sorrow
render,give; deliver; provide; represent in verb al or artistic form; depict; perform;
rendezvous,meeting place; meeting at a set time or place; V.
rendition,"rendering; translation; artistic interpretation of a song, etc"
renegade,deserter; traitor; ADJ.
renege,break a promise; deny; go back on; Ex. renege on the contract/paying off
renounce,abandon; give up (by formal announcement); disown; repudiate; Ex. renounce one's claim to the property /one's religion; N. renunciation
renovate,restore to good condition; renew
renown,fame; ADJ. renowned
rent,tear made by rending; rip; split
reparable,capable of being repaired
reparation,compensation (for loss or wrong); amends; Ex. make reparation for the damage; CF. repair
repartee,quick clever reply
repast,meal; feast; banquet
repeal,revoke; annul
repel,drive away; disgust; Ex. repel the atta ck/moisture; Ex. repelled by the dirty
repellent,driving away; disgusting; o ffensive; repulsive; unattractive; N.
repercussion,rebound; reaction; reve rberation; Ex. serious repercussion
repertoire,"list of works of music, drama, etc., a performer is prepared to present; CF."
repine,fret; complain; be annoyed;  Ex. repine over the undone work
replenish,fill up again
replete,fully filled; filled to the brim or to the point of being stuffed; abundantly
replica,copy
replicate,reproduce; duplicate
repose,restin g; state of bein g at rest; calmness; V: lie at rest; relax; put or place; Ex.
repository,storehouse
reprehensible,deserving blame; blameworthy; V. reprehend: blame
repress,hold back (the natural expression of); restrain; crush; oppress; Ex.
reprieve,postponement or cancelation of a punishment; temporary stay; V: postpone or cancel the punishment of
reprimand,reprove severely; rebuke; N.
reprisal,retaliation
reprise,musical repetition; repeating of a pi ece of music; repeat performance;
reproach,blame (not angrily but sadly); expre ss disapproval or disappointment; N.
reprobate,"morally disapproved person; person hardened in sin, devoid of a sense of"
reprobation,severe disapproval; CF. approbation
reprove,censure; rebuke; N. reproof
repudiate,disown; disavow; deny
repugnance,disgust; strong dislike; loathing; ADJ. repugnant: arousing disgust; repulsive
repulse,reject with rudeness or coldness (an o ffer or friendship); drive back (an
repulsion,distaste; disgust; act of driving back; ADJ. repulsive: causing disgust; tending to drive away; V. repel (not `repulse')
reputable,respectable; having a good reputation
reputed,supposed; Ex. reputed father of the child; V. repute: consider; N. repute: reputation; esteem
requiem,mass for the dead; dirge
requisite,necessary requirement; something required; ADJ: required; necessary
requisition,formal demand or request; Ex. requis ition for more computing equipment;
requite,make return for; repay; re ciprocate; revenge; N. requittal
rescind,"repeal; annul; cancel (a law, decision, or agreement)"
resentment,indignation; bitterness; di spleasure; V. resent: feel anger about
reserve,self-control; self-restraint; formal but distant manner; reticence; Ex.
residual,remaining; left over ; of a residue; N: residue
residue,remainder; balance
resign,"give up (a position, right, or claim); submit (oneself) passively"
resignation,patiently submissiveness; statement th at one is quitting a job; ADJ.
resilient,elastic; having the power of spri nging back; able to recover quickly (as from
resolution,determination; resoluteness; ADJ. resolute: firm or determined in purpose
resolve,decide; settle; solve; separate; ma ke a determined decision; N. resolution
resonant,(of a sound) echoing; resounding(sound ing loudly); deep and full in sound;
resort,turn to for help; Ex. resort to violence; N.
resound,(of a place) be filled with sound; (of a sound) sound loudly; sound back;
resourceful,"clever and imaginative (in dealing with  difficult situations); N. resource,"
respiration,breathing; exhalation; ADJ. respiratory
respite,time for rest; interval of relief; delay in punishment; reprieve
resplendent,brilliant; splendid in appearance; dazzling; glorious
responsiveness,"state of reacting readily to appeals, orders, etc.; ADJ. responsive: readily reacting; Ex. responsive to treatment"
restitution,"returning something (lost or stolen) to the rightful owner; reparation; indemnification; compensation for loss, damage, or injury"
restive,impatiently restless (induced by external coercion or restriction); restlessly impatient; obstinately resisting contr ol; Ex. restive horses because of
restraint,moderation or self-contr ol; controlling force; restriction
resumption,taking up again; recommencement; V. re sume: begin or take up again; take
resurge,rise again; flow to and fro; N. resu rgence; ADJ. resurgent: (of ideas or
resurrect,revive
resuscitate,revive; bring back to life or consciousness; Ex. resuscitate the drowned child
retain,keep; maintain possession of; employ (esp. a lawyer or advisor); N.
retaliate,repay in kind (usually for bad treatment); V. retaliate
retard,delay (in development); ADJ. retarded: (as of a child) slower in
retentive,holding; able to retain things (esp . facts in the mind); having a good
reticent,inclined to silence; uncommunicative; reserved; Ex. He was reticent about
retinue,following; attendants
retiring,shy and reserved (of a person ); modest; Ex. her retiring personality
retort,quick sharp reply; V.
retract,withdraw; take back; draw back; Ex. re tract a statement/an offer/claws; N.
retrench,cut down; cut down expenses; economize
retribution,deserved punishment for wrongd oing; punishment for offenses;
retrieve,recover; put right; find and br ing in; regain; Ex. retrieve the situation
retroactive,taking effect before its enactment (as a law) or imposition (as a tax); (of a
retrograde,go backwards; recede ; degenerate; deteriorate; ADJ.
retrospective,looking back on the past; N. retrospection; V. retrospect
revelry,boisterous merrymaking; V. revel: engage boisterous festivities; enjoy
reverberate,echo repeatedly; resound; Ex. The thunder reverberated across the valley.
reverend,deserving reverence; N: priest
reverent,respectful; worshipful; V. revere: regard with reverence; N. reverence: profound respect
reverie,daydream; abstracted musing
revert,relapse; backslide; turn back to; return to the former owner; N. reversion
revile,attack with abusive language; vilify(slander)
revoke,cancel; retract; CF. irrevocable
revulsion,sudden strong feeling of disgust; sudden violent change of feeling; negative
rhapsodize,speak or write in an exaggeratedly enthusiastic manner; Ex. rhapsodize over the beauty of the scenery
rhapsody,excessively enthusiastic expression of feeling; musical composition of
rhetoric,art of effective communication; art of using language effectively and persuasively; style of speaking or writing; grandiloquent language; Ex. political rhetoric; ADJ. rhetorical; CF. rhetorical question: question to which no answer is expected as
ribald,marked by vulgar lewd humor; wanton; profane; N. ribaldry: ribald language or joke
rickety,(of buildings) likely to break or fall apart; of rickets; CF. rickets; CF. vitamin
riddle,pierce with holes; permeate or spread throughout; Ex. The gunman riddled
rider,amendment or clause added to a legislative bill
rife,(of something bad) widespread; abundant; current
rift,narrow opening in a large mass; break in a friendly relation; Ex. through a rift in the clouds; OP. reconcilation
rig,arrangement of masts and sails; V: equip (a ship) with rigging; ADJ.
righteous,morally upright; just
rightful,legally correct; Ex. rightful owner
rigid,hard and unbending; stiff and unyielding ; fixed in behavior or views; strict;
rigor,severity; Ex. rigors of the Russian winter
rile,irritate; vex; muddy
rip,tear or be torn quickly and violently; Ex. The sail ripped under the force of the wind; N.
rivet,metal pin used for fastening metal plates  together; V: fasten with a rivet;
riveting,holding one's attention; absorbing; engrossing
rivulet,small stream; CF. rill < rivulet < river
robust,strong; vigorous
rococo,ornate; highly decorated; N. CF. 18th century
roil,make liquids murky by stirring up sediment; disturb
rolling,(of land) rising and falling in long ge ntle slopes; happening continuously by
romp,play or frolic boisterously; gambol; N.
rooster,cock; adult male chicken
roseate,rosy; optimistic; Ex. roseate views
roster,list (of names)
rostrum,raised platform for speech-making; pulpit
rote,repetition; memorization through repe tition without understanding; Ex.
rotund,(of a person) fat and round
rotunda,circular building or hall covered with a dome
rotundity,roundness; sonorousness of speech
rou\'e,lecherous man
rousing,lively; inducing excitement; stirring; V.  rouse: waken; arouse from sleep or
rout,put to rout; stampede; drive out; N:  complete defeat and disorderly retreat
rubble,fragments (esp. from a destroyed building)
rubric,title or heading (in red print); directions for religious ceremony; protocol
ruddy,reddish; (of the face) reddish and healthy-looking
rudimentary,elementary; not developed; crude; N. rudiment: fundamental element or
rue,regret; lament; mourn; Ex. He will rue the day; N. ADJ. rueful
ruffian,violent scoundrel; bully
rumble,make or move with a deep rolling sound (as thunder or stomach)
ruminant,animal that ruminates; ADJ.
ruminate,"chew over and over (mentally or , like cows, physically); mull over(ponder)"
rummage,ransack; thoroughly search
run-down,(of a place) dilapidated; in a ba d condition; (of a person) weak or exhausted
runic,mysterious; set down in an ancient alphabet; N. rune: one of the letters of an alphabet used by ancient German ic peoples (cut on stone or wood);
ruse,trick to deceive; stratagem
rustic,pertaining to country people; unsophis ticated; simple; crude; uncouth; (of
rusticate,banish to the country; dwell in the country
rustle,make slight sounds like si lk moving or being rubbed together
ruthless,pitiless; merciless; cruel
