Word,Meaning
pluck,courage; V: pull off or out; pull out the hair or feathers of; ADJ.
plumage,feathers of a bird;
plumb,exactly vertical; N: weight on the end of a line; V: examine very
plumber,one who installs and repairs pipes and plumbing(pipes)
plume,"feather, esp. large or showy one; something that rises into the air (like"
plummet,fall sharply; fall straight down; Ex. Stock prices plummeted.
plump,pleasantly fat; nicely rounded
plutocracy,society ruled by the wealthy
podiatrist,doctor who treats ailments of the feet; chiropodist; N. podiatrics
podium,pedestal; raised platform
poignancy,quality of being deeply moving; keenness of emotion; ADJ. poignant:
poise,good judgment with composure; ba lance; V: place in a carefully
polar,of a pole; characterized by opposite extremes; Ex. polar opposites
polarity,state of having two opposite qualities
polarize,split into opposite extremes or camps
polemic,attack or defense of an opinion; controversy or refutation; argument
politic,prudent; judicious; we ll judged; expedient; well devised
polity,(particular form of) political organization; form of government of
polygamist,one who has more than one spouse at a time; CF. bigamy; CF.
polyglot,speaking several languages; multilin gual; Ex. polyglot person/society;
pomposity,self-important behavior; acting li ke a stuffed shirt(pompous person);
ponderous,having great weight; weighty; unwi eldy; lacking lightness; dull; Ex.
pontifical,pertaining to a bishop or pope; po mpous or pretentious; CF. pontiff:
pore,study industriously; ponder; sc rutinize; Ex. pore over the book; N.
porous,full of pores; like a sieve
porridge,soft food made by boiling oatmeal
portend,foretell; presage; be a sign or wa rning of; N. portent: sign; omen;
portly,stout; corpulent
pose,assume a particular posture; put forward; present; affect a particular
poseur,"person who pretends to be sophisti cated, elegant, etc., to impress"
posterity,descendants; future generations; Ex . go down to posterity; CF.
posthumous,after death (as of child born after father's death or book published
postmortem,autopsy; ADJ: occurring after death; of a postmortem
postulate,self-evident truth; something assu med without proof; V: assume the
posture,assume an affected pose; act artificially; N: pose; attitude
potable,suitable for drinking; drinkable
potent,powerful; convincing; persuasive; greatly influential
potentate,monarch; sovereign
potential,expressing possibility; latent; N: capacity for growth
potion,dose (of liquids); liquid dose
potpourri,heterogeneous mixture; medley; mix ture of dried flower petals a pot
poultice,soothing application applied to sore and inflamed portions of the
pr\'ecis,abstract; concise summing up of ma in points; concise summary of a
practicable,feasible
practical,based on experience; of or acquired through practice (rather than theory); useful; Ex. practical man
pragmatic,practical (as opposed to idealistic);  concerned with practical worth or
pragmatist,practical person; N. pragmatism: pragmatic way of dealing with things
prance,move about in a spirited manner (proudly and confidently)
prank,mischievous trick
prate,talk idly; speak foolishly; boast idly
prattle,talk idly; babble; N. CF. prate
preamble,introductory statement
precarious,unsafe; lacking in stability; uncertain; risky; Ex. precarious living
precedent,"preceding (in time, rank, etc.)"
precept,practical rule guiding conduct; Ex. mother's precept
precinct,division of a city for election or police purposes; precincts: space that
precipice,cliff; dangerous position; Ex. on the edge of the precipice
precipitant,something that causes a substance in a chemical solution to separate
precipitate,hurl downward; throw headlong; hasten; cause to happen sooner; condense and fall as rain or snow; cause (a solid substance) to be separated from a solution; ADJ. hasty; rash; premature; sudden
precipitous,steep; overhasty; precipitate
precise,exact
preclude,make impossible; prevent; exclude; eliminate
precocious,advanced in de velopment; N. precocity
precursor,forerunner; predecessor
predator,predatory animal or bird; predatory person; creature that seizes and devours another animal; person who robs or exploits others; ADJ. predatory: living by preying on other organisms; plundering; N.
predecessor,former occupant of a post
predetermine,determine in advance; predestine ; settle or decide beforehand;
predicament,difficult situation; tricky or dangerous situation; dilemma
predilection,preference; partiality
predispose,give an inclination toward (in advance); make susceptible to; Ex. predispose people to certain cancer; N. predisposition
preeminent,outstanding; superior
preempt,prevent in advance; head off(forest all); forestall by acting first;
preen,make oneself tidy in appearance; feel  self-satisfaction or pride; (of a
prefatory,introductory; of a preface
prefigure,be a sign of; foreshadow
prehensile,capable of grasping or holding (esp. by wrapping around); Ex.
prelate,church dignitary; priest of hi gh position in the church (esp. bishop)
prelude,introduction; introductory performance or event; forerunner
premeditate,plan in advance; Ex. premeditated murder
premise,assumption; postulate; proposit ion upon which an argument is based
premonition,forewarning; presentiment; foreboding
premonitory,serving to warn
preponderance,"superiority of power, quantity, etc.; V. preponderate: be greater in power, weight, or importance; ADJ. preponderant"
prepossessing,attractive; CF. preoccupying ?
preposterous,absurd; completely unreasonable; ridiculous
prerogative,privilege; unquestionable right; CF. ask before
presage,foretell; be a warning or sign  of; N: presentiment; foreboding; omen
prescience,ability to foretell the future; knowledge of actions before they occur; ADJ. prescient
presentiment,premonition; foreboding; feeling so mething will happen; anticipatory
prestige,respect or admiration; impression produced by achievements or reputation; ADJ: causing admirati on; ADJ. prestigious: having
presume,take for granted; assume; act overconfidently; take liberties; presume on/upon: take unfair advantag e of (someone's kindness or
presumptuous,going beyond what is right; exce ssively forward; arrogant; taking
pretend,feign; pretend to: claim to possess; make pretensions to; Ex. I don't pretend to much expertise; N. pretense
pretension,pretentiousness; claim (without foundation); Ex. I make no pretensions to skill as an artist.
pretentious,ostentatious; showy; pompous; making unjustified claims; overambitious; Ex. pretentious films that claim to be art
preternatural,beyond what is normal in nature; supernatural; Ex. preternatural
pretext,excuse
prevail,be widespread; triumph over; gain victory; prevail on: persuade; induce; Ex. Justice has prevailed; Ex. prevail on someone to do
prevalent,widespread; generally accepted
prevaricate,lie; hide the truth (by equivocating)
prey,target of a hunt; victim; V: hunt and eat as prey; victimize; Ex. Cats prey on mice.
prim,proper to the point of affectation; very precise and formal;
primal,first in rank or importance; being first in time; original; Ex. man's
primary,first in rank or importance; principal; earliest in time; Ex. primary stages; N. CF. first
primate,group of mammals including humans
prime,period of ideal or peak condition; ea rliest or beginning stage; Ex. in
primogeniture,seniority by birth; state of being the first-born child; right of the
primordial,existing at the be ginning (of time); rudimentary
primp,groom oneself with care; adorn oneself
pristine,unspoiled; remaining in a pure state;  characteristic of earlier times;
privation,lack of the basic necessities or com forts of life; hardship; want; CF.
privy,secret; hidden; not public; made a participant in something secret;
prize,pry; move with a lever; value hi ghly; esteem; Ex. his most prized
probe,explore with a probe or tools; investigate; N: slender instrument used to explore a wound or body cavity; device designed to investigate an unknown region; thorough investigation; Ex. space probe
probity,uprightness; honesty; incorruptibility
problematic,causing a problem; open to doubt;  doubtful; unsettled; questionable;
proclivity,inclination; natural tendency (esp. towards something bad)
procrastinate,postpone; delay or put off
procurement,obtaining; V. procure: obtain by effort; obtain (a prostitute) for
prod,poke (with a pointed object); stir up ; urge; goad to action; N: pointed
prodigal,wasteful; reckless with money; profus e; Ex. a mind prodigal of ideas;
prodigious,enormous; marvelous; extraordinary; Ex. prodigious
prodigy,highly gifted child; person wi th exceptional talents; marvel; wonder
profane,violate; desecrate (something holy);  treat unworthily; be profane for;
profligate,wasteful (of money); dissipated; wildly immoral; dissolute; N: profligate person; N. profligacy
profound,deep; not superficial; complete; Ex. profound thinker/remark/silence/deafness; N. profundity
profusion,great amount; plenty; overabundance;  excess; lavish expenditure; Ex.
progenitor,ancestor
progeny,children; offspring; descendants
prognosis,forecasted course of a di sease; prediction; CF. prognostic
prognosticate,predict (according to present indications)
prohibitive,so high as to prohibit purchase or use; tending to prevent the
projectile,missile; fired or thrown object (such as stone or bullet)
proletarian,member of the working class; blue collar guy; N. proletariat: working class (who have to work for wages)
proliferate,grow rapidly (in numbers); spread; multiply; N. proliferation
prolific,producing offspring or fruit in abun dance; fertile; fecund; abundantly
prolixity,tedious wordiness; verbosity;  ADJ. prolix: wordy; verbose; diffuse
prologue,introduction (to a poem or play)
prolong,lengthen; extend; draw out
prominent,protruding(sticking out); conspicuous; notable; eminent
promiscuous,mixed indiscriminately; indiscri minate; not choosing carefully;
promontory,headland
promote,advance in rank; advance; help to flourish; advocate; help actively in forming; publicize or popularize; Ex. Milk promotes health; Ex. promote a match/bill; Ex. promote a new product
prompt,cause; urge; provoke; provide a cue (for an actor); ADJ: done without
promulgate,announce; proclaim a doctrine or law; make known by official
prone,inclined to; likely to (suffer); prostrate; lying with the front downward; Ex. prone to disease/make mistakes; Ex. accident-prone
prong,pointed projecting part
pronounced,distinct; very noticeable; Ex. pronounced limp
prop,support placed under or against something; V.
propagate,increase in number by producing young; multiply; spread; Ex. Most plants propagate by seed; Ex. newspaper propagating their ideas
propellant(propellent) substance which propels or drives,forward (such as an explosive
propensity,natural inclination
prophetic,of a prophet or prophecy; having to do with predicting the future; N. prophecy; V. prophesy; N. prophet
prophylactic,used to prevent disease; N: something prophylactic; condom; N. prophylaxis: prevention of disease
propinquity,nearness (in space or relationship); proximity; kinship
propitiate,appease; conciliate; make peaceful; ADJ. propitiatory
propitious,favorable; auspicious; advantageous; fortunate; Ex. propitious day/sign
proponent,supporter; backer; opposite of opponent
propound,put forth for consideration or analysis; set forth; Ex. propound a
propriety,fitness; quality of being proper; correct conduct; conformity to
propulsive,driving forward; N. propulsion
prosaic,lacking in imagination; dull and unimaginative; matter-of-
proscenium,part of stage in front of curtain; front arch of a stage
proscribe,prohibit; ostracize; banish; outlaw
proselytize,(induce someone to) convert to a reli gion or belief; N. proselyte: new
prosody,art of versification; study of the metrical structure of verse
prosper,become successful (esp. financially); thrive; grow well; Ex. children
prosperity,good fortune and fina ncial success; physical well-being
prosperous,successful; rich; affluent; well-to-do; well-off
prostrate,stretch out full on ground; make prostrate; enervate; Ex. prostrating illness; ADJ: lying face down ; having lost all strength
prot\'eg\'e,person receiving protection and support from a patron
protagonist,leader or noticeable supporter of an idea; chief character in a play or
protean,able to take on many forms; versat ile; CF. Proteus: sea god to change
protocol,diplomatic etiquette; ceremony and etiquette observed by diplomats;
prototype,original work us ed as a model by others
protract,prolong; lengthen in time; draw out
protrude,stick out; jut; project; Ex. protruding teeth
protuberance,protrusion; swelling; bulge
provenance,place of origin; origin or source of something; Ex. Gunpowder is of
provender,dry food for livestock; fodder
proverb,adage; someone or something well known for notoriety; ADJ. proverbial: of a proverb; widely known; ADV. proverbially
providence,quality of being provident; divine care; god's care; Providence: god; Ex. It seemed like providence that  the doctor happened to be there;
provident,providing for future needs; displaying foresight; thrifty; preparing for emergencies; OP. improvident
provincial,pertaining to a province; li mited in outlook; narrow; unsophisticated
provision,act of providing; something provided; preparatory measure;
provisional,tentative; temporary
proviso,stipulation; condition in an agreement; provision
provocative,arousing anger or sexual interest; annoying; Ex. provocative in tight jeans; V. provoke: incite to anger; cause (an unpleasant action or feeling); N. provocation
prowess,extraordinary ability; mili tary bravery; Ex. prowess in battle
proximity,nearness; ADJ. proximate
proxy,authorized agent; authority to act for another
prude,excessively modest or proper pers on (who is easily shocked by
prudent,cautious; careful; prudential
prune,cut away; trim
prurient,having or causing lustful desires and thoughts; arousing immoderate sexual desire
pry,inquire impertinently (someone else's  private affairs); use leverage to
pseudonym,pen name; fictitious name assumed by an author; ADJ. pseudonymous
psyche,soul; mind
psychiatrist,doctor who treats mental diseases
psychic,of psyche; mental; of or po ssessing extraordinary mental powers
psychopathic,pertaining to mental dearrangement;  N. psychopath: person with an
psychosis,mental disord er; ADJ. N. psychotic
psychosomatic,of the influence of the mind on the body (esp. with respect to disease)
pterodactyl,extinct flying reptile; CF. wing+finger
pucker,gather into wrinkles or folds; N: wrinkle or fold
pudding,hot sweet dish
puerile,childish; immature; CF. puer: boy
pugilist,boxer; CF. pugilism: boxing
pugnacity,combativeness; disposition to figh t; ADJ. pugnacious: (of people)
puissant,powerful; strong; potent; N. puissance: power
pulchritude,beauty; comeliness; ADJ. pulchritudinous
pulmonary,pertaining to the lungs
pulpit,raised platform used in preaching (in a church)
pulsate,throb; beat regularly; vibrate regularly
pulse,rhythmical throbbing of arteries; brief sudden change in a normally
pulverize,crush or grind into very small particles
pummel,pommel; beat or pound with fists
punctilious,minutely attentive (perhaps too mu ch so) to fine points; stressing
pundit,authority on a subject; expert; learned person
pungent,stinging; acrid; sharp in taste or smell; (of speech or writing) caustic;
punitive,punishing; Ex. punitive measures
puny,tiny; weak; insignificant
purchase,secure grasp or hold; firm grasp or footing
purgatory,place of spiritual expiation; temporary state or place in which the souls must expiate their sins
purge,remove or get rid of something or someone unwanted; eliminate; free
purport,intention; purpose; meaning; V: claim; profess; Ex. order which
purported,alleged; claimed; reputed or rumored; Ex. purported Satanists
purse,pucker; contract (lips) into wrinkles; N: wallet
purveyor,furnisher of foodstuffs; caterer; V. purvey: supply (eg. food); furnish; CF. provide
pushy,disagreeably aggressive
pusillanimous,cowardly; lacking courage; fainthearted
putative,supposed; reputed; generally regarded  as such; Ex. putative father of
putrefy,make or become putrid; N. putrefaction
putrescent,becoming putrid; putrefying
putrid,decayed and foul-smelling; foul; rotten; decayed; N. putridity
puzzle,baffle or confuse by a difficult problem; ponder over a problem in an
pyromaniac,person with an insane  desire to set things on fire
