Word,Meaning
grimace,"facial distortion to show feeling such as pain, disgust, etc; V."
grisly,ghastly; horrifying; Ex. grisly remains of the bodies
groom,man employed to take care of horses; V: make neat and trim; clean and brush
groove,long narrow channel made in a surface to guide the movement of something;
gross,total; fragrant; clearly wrong; (of people's behavior) coarse; corpulent; Ex.
grotesque,fantastic; comically hideous; strang e and unnatural (causing fear or
grotto,small cavern
grouch,bad-tempered complaint; person wh o keeps complaining; V: complain;
grouse,complain; fuss; grumble; grou ch; N: plump chickenlike game bird
grovel,crawl or creep on ground; remain prostrate; behave in a servile manner
growl,"low, guttural, menacing sound (as of a dog)"
grudge,deep feeling of dislike; Ex. grudge fight; V.
grudging,unwilling; reluctant; stingy(giving reluctantly)
gruel,thin liquid porridge
grueling,exhausting; Ex. grueling marathon race
gruesome,grisly; horrible
gruff,rough-mannered; (of a voice) rough; hoarse
grumble,complain; mutter discontentedly; grouch; N.
grunt,utter a deep guttural sound (as a pig does); N.
guffaw,boisterous laughter; V.
guile,deceit; duplicity; wiliness; cunning; Ex. persuade her by guile
guileless,without deceit
guise,outward appearance; costume; Ex. in a new guise
gull,trick; deceive; hoodwink; N: pe rson who is easily tricked; dupe
gullible,easily deceived
gush,(of liquid) pour out in large quantities from a hole; make an excessive display
gust,strong abrupt rush of wind; V. CF. bluster
gustatory,affecting or relating to the sense of taste
gusto,eager enjoyment; zest; enthusiasm
gusty,windy
guy,cable or chain attached to something that  needs to be braced or steadied; CF.
gyroscope,"apparatus used to maintain balance, ascertain direction, etc."
