Word,Meaning
fell,cut or knock down (a tree or a person); bring down (with a missile)
felon,person convicted of a grave crime; CF. felony: serious crime
feral,(of an animal) not domestic; wild
ferment,agitation; commotion(noisy and excite d activity); unrest (of a political
fermentation,chemical reaction that splits complex organic compounds; unrest;
ferocious,fierce; violent; N. ferocity
ferret,drive or hunt out of hiding; hunt with ferrets; drive out (as from a hiding place); expel; uncover or discover by searching; Ex. ferret out the secret; N. small fierce animal whic h catches rats and rabbits by going
fertile,"producing many young, fruits, or seed s; (of land) producing good crops;"
fervent,ardent; zealous; hot
fervid,ardent; zealous; hot
fervor,glowing ardor; intensity of feeling; quality of being fervent or fervid; zeal; intense heat
fester,rankle; produce irritation or resentment; (of a cut or wound) generate
festive,joyous; celebratory; relating to a feast or festival
fete(f\^ete),honor at a festival; celebrate or honor with a feast; N. (outdoor) festival
fetid(foetid),malodorous; foul
fetish(fetich),object believed to have spiritual powe rs; object of excessive attention or
fetter,shackle; restrict the freedom of; N. chain or shackle for the foot of a
feud,bitter prolonged quarrel (usually betw een two peoples or families); V.
fiasco,total failure; CF. bottle
fiat,command; arbitrary order; Ex. pr esidential fiat; CF. let it be done
fickle,changeable (in affections or friendship); faithless
fictitious,imaginary; non-existent; purposely invented to deceive; untrue; Ex.
fidelity,loyalty; accuracy
fiend,evil spirit; devil
figment,invention; something invented; imag inary thing; Ex. figment of your
figurative,not literal but metaphoric al; using a figure(impression) of speech
figure,written symbols; number; amount represented in numbers; outline or
figurine,small ornamental statuette(very small statue)
filch,steal (things of small value)
filial,pertaining to or befitting a son or daughter; Ex. filial respect
filibuster,block legislation or prevent action in  a lawmaking body by making very
filigree,delicate orname ntal lacelike metalwork
filing,particle removed by a file
filth,dirty matter; ADJ. filthy
finale,conclusion; concluding part
finery,beautiful clothes for a special occasion
finesse,delicate skill; V: handle with finesse
finicky,too particular; fussy; difficult to please; too concerned with
finish,surface texture; completeness of execution
finished,properly made and complete; Ex. finished product/performance
finite,limited
firebrand,piece of burning wood; hothead; tr oublemaker; person who stirs up
fissure,crevice; crack
fit,sudden outburst of an illness or feeling; convulsion caused by epilepsy
fitful,spasmodic; intermittent; irregular
flaccid,flabby; lacking firmness; weak; Ex. flaccid muscles
flag,droop; grow feeble; decline in vigor or strength; ADJ. flagging; CF.
flagrant,"conspicuously wicked, bad, or offensive; blatant; outrageous"
flail,beat with or as if with a flail; move  wildly; thresh grain by hand; strike
or slap; toss about; N: threshing tool,consisting of a stick swinging from
flair,talent
flamboyant,ornate; highly elaborate; rich ly colored; ostentatious; showy; CF. flame
flashy,showy; gaudy; givi ng a momentary brilliance
flaunt,"display ostentatiously; Ex. ``Honey, if you've got it, flaunt it !''"
flay,strip off skin; plunder; remove the skin from; criticize harshly
fleck,spot; mark with flecks; N: small mark or spot
fleece,wool coat of a sheep; V: shear the fl eece from; rob by a trick; swindle;
fleet,fast; rapid; N. ADJ. fleet ing: passing quickly; ephemeral
flick,light stroke as with a whip; V: move with a light quick blow; strike with
flicker,burn unsteadily or fitfully; move wave ringly; N: flickering movement or
flighty,"(esp. of a woman's behavior) capricio us; often changing, esp. from one"
flinch,hesitate; shrink back (in fear of so mething unpleasant); Ex. She did not
flip,"send (something) spinning, often into the air, by striking with a light"
flippant,lacking proper seriousness; Ex. fl ippant remarks about death; N.
flirt,behave in a way that attracts (sexual)  attention; deal triflingly with; N:
flit,fly; fly or move lightly or quickly; dart lightly; pass swiftly by; Ex. a bee
floe,flat mass of floating ice
flora,plants of a region or era
florescence,condition or period of flowering
florid,ruddy; (of a complexion) reddi sh; flowery; very ornate; CF. rose
flotsam,drifting wreckage
flounder,"struggle and thrash about; proceed clum sily or falter (as in water, mud,"
flourish,grow well; prosper; make sweeping gestures; wave; brandish; Ex. The
flout,reject; mock; show contempt for; scorn; Ex. flout the rules
flowery,full of flowers; full of ornate expressions
fluctuate,waver; shift; rise and fall as if in waves; change or vary irregularly
fluency,smoothness of speech; ADJ. fluent
fluke,unlikely occurrence; stroke of fortune; accidental stroke of good luck;
flush,redden; blush; flow suddenly and abun dantly; wash out by a rapid brief
flow of water; N: reddish tinge; blush;,brief rush; rush of strong feeling;
fluster,confuse; make nervous and confused; N.
fluted,having vertical parallel grooves (as in a pillar); V. flute: make long parallel inward curves in; N. flute: long rounded groove incised on the shaft of a column
flutter,"(of a bird with large wings) wave (the wings) lightly, rapidly, and"
flux,flowing; series of changes; fluctuation; Ex. in a state of flux
fodder,"coarse food for cattle, horses, etc.; feed for livestock; CF. food"
foible,small weakness of charac ter; slight fault; CF. feeble
foil,defeat; frustrate; prevent from being successful; thwart; CF. fail
foist,insert improperly; impose upon another by coercion; palm off; pass off
foliage,masses of leaves; CF. defoliate
foment,stir up; incite; instigate; promote the growth of (something evil or
foolhardy,rash; reckless; foolishly daring
foppish,vain about dress and appearance; N. fop: man who takes too much
foray,raid; sudden raid or military advance; V.
forbearance,patience; forgiveness; V. forbear: refrain from (in a generous and forgiving way); be patient; Ex. forbear to send him to prison
ford,place where a river can be crossed on foot; V.
foreboding,premonition of evil; feeling of coming evil; V. forebode: be a warning of (something unpleasant)
forensic,suitable to debate or courts of law; of or used in legal proceedings and the tracking of criminals; Ex. forensic science/medicine
forerunner,predecessor; one that comes before and indicates the approach of
foreshadow,give an indication beforehand; be a sign of (what is coming); portend;
foresight,ability to foresee future happenings; prudence in providing for the
forestall,prevent by taking action in advance
forfeit,something surrendered as punishment for a crime or breach of
forge,counterfeit; reproduce fraudulently; form by heating in a forge and
forgo(forego),give up; do without
forlorn,sad and lonely; wretched; desolate
formality,ceremonious quality; ceremonious ad herence to rules; something done
formidable,menacing; arousing fear; threatening; difficult to defeat; Ex. formidable
forsake,desert; abandon; renounce
forswear,renounce under oath; abandon; make a solemn promise to give up; CF.
forte,strong point or special talent in a person's character
forthcoming,happening in the near future; ready; willing to help; Ex. No answer was
forthright,straightforward; direct; frank
fortitude,bravery; courage; strength of mind
fortuitous,accidental; by chance; N. fortuity
forum,public square of an ancient Roman city; public place for open
forward,presumptuous or bold
foster,rear; bring up (for a certain peri od only); encourage; promote the
foul,very bad or disagreeable; very dirty; Ex. foul smell/flavor/temper/language/air/deed/weather/means; N. act against
founder,person who establishes (an organization or business)
fracas,brawl(noisy quarrel or fight) in which a number of people take part;
fractious,unruly; peevish; cranky; bad-tempered; Ex. fractious horse
frail,weak; N. frailty
franchise,right or privilege granted by authority; right to vote; license to sell a product in a particular territory
frantic,wild; distraught as from fear or worry; Ex. frantic with fear
fraudulent,cheating; deceitful; Ex. fraudule nt means; N. fraud: deception; swindle
fraught,filled (with something unpleasant); full; Ex. fraught with danger and
fray,brawl; fight; V: wear away or unra vel by rubbing; have loose threads
freebooter,pirate or plunderer who makes war in order to grow rich
frenzied,madly excited; N. frenzy: violent wild excitement
fresco,painting on wet plaster (usually fresh)
fret,be annoyed or vexed; Ex. fret over your poor grades; N: irritation of
friction,clash or conflict in opinion; rubbing against
frieze,ornamental horizontal band on a wall
frigid,intensely cold; cold in manner; Ex. frigid zone
fringe,decorative edge of hanging threads; edge
frisk,move about playfully; froric; ADJ. frisky: playful
fritter,waste (time or money on unimportant things)
frivolous,lacking in seriousness; flippant; self -indulgently carefree; unworthy of
frock,long loose garment (worn by monks)
frolic,play and jump about happily; frisk; Ex. frolicking young lambs
frolicsome,prankish; gay; playful; merry; frisky
frond,fern leaf; palm or banana leaf
fructify,bear fruit; produce fruit
frugality,thrift; economy; ADJ. frugal: practicing economy; costing little; inexpensive
fruitful,producing results; profitable; prolific; producing in abundance
fruition,bearing of fruit; fulfillment; realization; Ex. come to/be brought to
frustrate,thwart; defeat; preven t from accomplishing a purpose
fuddle,make stupid or confused as with alcholic drink; N. in a fuddle: confused
fugitive,fleeting or transitory; lasting only  a short time; roving(wandering);
fulcrum,support on which a lever rests or pivots
fulminate,thunder; explode; issue a severe denunciation
fulsome,disgustingly excessive; offens ively flattering; Ex. fulsome
fumble,move the fingers and hands awkwardly (in search of something);
functional,made for practical use only (without decoration); functioning; Ex.
functionary,official (who performs a particular function)
fundamental,basic; primary; essential
funereal,sad; solemn; suitable for a funeral
furor,frenzy; great anger and excitement; CF. fury
furrow,long shallow trench made by a plow; deep wrinkle in the skin; V.
furtive,stealthy; quiet and secret (trying to escape notice); sneaky; Ex. furtive glance
fusillade,"simultaneous firing or o utburst (of missiles, questions, etc.)"
fusion,union; coalition; V. fuse
fuss:,trouble or worry over trifles; make nervous; pay too much attention to;
fussy,fastidious; finicky; easily upset
futile,useless; hopeless; ineffectual
